CJD.FC_vs_CT.FC	AveExpr	F	P.Value	adj.P.Val
PLD2	1.02200285714286	5.35824130434783	24.8878343274231	1.7982078590513e-09	6.14771917624376e-09
TNFRSF1B	1.95246285714286	6.03317608695652	24.3739128838992	2.37659907051227e-09	8.0562680356348e-09
SPP1	2.78265	10.2251934782609	24.2065692936607	2.60456398352782e-09	8.75483691942123e-09
CD84	1.97295571428571	6.19900652173913	24.1611770182153	2.67026549230317e-09	8.93812717088927e-09
CASP6	1.30968	6.63796086956522	24.1281346393194	2.71918087422661e-09	9.06393624742204e-09
SLC2A5	1.51925142857143	6.00885652173913	23.8666908139088	3.14088536306779e-09	1.0383092109315e-08
C1QC	2.40179142857143	7.16013043478261	23.6648052008787	3.51310283914201e-09	1.1565770663842e-08
SERPINA3	4.76492857142857	8.11515217391304	23.6251864823921	3.5914156584086e-09	1.17270715376607e-08
HMOX1	1.87245714285714	6.25522391304348	23.4060445762205	4.05886271324953e-09	1.30357380172397e-08
TIE1	1.08316	5.95347391304348	23.3995424840082	4.0736681303874e-09	1.30357380172397e-08
TMEM204	1.00729857142857	6.40528260869565	23.3248879768242	4.24776530484759e-09	1.34316689481347e-08
LTC4S	1.12162714285714	7.55193913043478	23.1062383221894	4.80391753532807e-09	1.50711138363234e-08
TMEM119	1.48549142857143	5.8497	22.9569323802619	5.22709131659166e-09	1.63346603643489e-08
LTBR	1.66860571428571	5.65746739130435	22.8831049762163	5.45058178226855e-09	1.6952725987476e-08
C4A	2.4846	8.19393913043478	22.8777250111792	5.46725413096101e-09	1.6952725987476e-08
TCIRG1	2.08622142857143	6.73909782608696	22.8359534557849	5.59853263473955e-09	1.72927648949484e-08
CSF1	1.37859714285714	6.58433913043478	22.8145177004305	5.66717702505519e-09	1.73780954474537e-08
IFITM2	1.49068285714286	8.58914565217391	22.7419199787809	5.90627533534197e-09	1.8034428504861e-08
TNFRSF25	1.41248	9.58599782608696	22.7188182228372	5.98455565610842e-09	1.82039715775161e-08
IL6R	1.22058428571428	6.41077173913043	22.612075924304	6.36060726429127e-09	1.92745674675493e-08
TNFSF13B	1.51907857142857	6.43325652173913	22.3289760429116	7.48268874213516e-09	2.24200411749368e-08
PPP3CA	-1.22635	11.1690565217391	22.2865048239279	7.66812421616853e-09	2.28899230333389e-08
LST1	1.32105142857143	6.51456956521739	22.2425095872405	7.86529183729143e-09	2.3391202490086e-08
OSGIN1	1.37468	5.38709782608696	21.9859758216775	9.12567563974254e-09	2.69392638811588e-08
SRGN	1.75009285714286	8.59046956521739	21.7332760141193	1.05752009765759e-08	3.0989599931358e-08
ICAM2	1.03999285714285	7.00125217391304	21.6393941235674	1.11734261389505e-08	3.26176758814105e-08
SLCO2B1	1.28075285714286	8.33875652173913	21.6334726758318	1.12123260842349e-08	3.26176758814105e-08
IKBKB	1.17892285714286	7.67334347826087	21.5723612296058	1.16221653539073e-08	3.36874358084271e-08
TGM2	1.72261	7.68207826086957	21.3251846539998	1.34466845472227e-08	3.85568015690973e-08
