logFC	AveExpr	t	P.Value	adj.P.Val	B
TMEM119	2.16014976190476	5.8497	4.87756793942552	1.51345834972655e-05	5.24141419818717e-05	2.78103216378456
CREBBP	1.12336142857143	10.0240826086957	4.87087527869403	1.5468046890135e-05	5.33380927246034e-05	2.75999521017696
ANAPC15	-1.57840619047619	6.52508043478261	-4.80171154937479	1.93677253998778e-05	6.51015979827825e-05	2.54306460074205
RAC2	1.83709166666667	4.8665	4.77556190854254	2.10820212975387e-05	7.0567435305569e-05	2.46127698265127
CASP1	1.69031261904762	5.3100847826087	4.76940995483346	2.15065549625991e-05	7.16885165419969e-05	2.44205453520874
TP53	1.09022428571429	6.6191347826087	4.74240487259006	2.34718781453619e-05	7.79149482003715e-05	2.35776065323812
GRM2	-1.40461119047619	6.93594347826087	-4.73310561788312	2.4188742602082e-05	7.99627854614281e-05	2.32876684805173
CASP7	1.58053571428571	6.35150652173913	4.72364212243833	2.49403823932624e-05	8.21082547926333e-05	2.29927851391383
TYROBP	2.96925547619048	7.56247173913043	4.68841362417453	2.79458792180555e-05	9.13133920224118e-05	2.18966408724508
IKBKE	2.08823238095238	5.18910869565217	4.64207301520961	3.24472283115873e-05	0.000104356683470889	2.0458622686507
ICAM2	1.61366285714286	7.00125217391304	4.64174964306644	3.24810177303142e-05	0.000104356683470889	2.04486037981823
HMGB1	-1.21814047619047	8.6773	-4.63560254968372	3.31299485846287e-05	0.000106015835470812	2.02581935685966
BAK1	1.51883261904762	7.92252826086956	4.62993355450437	3.37396906722066e-05	0.00010753686270026	2.00826641998972
BIRC5	1.77126190476191	4.92543695652174	4.61594314465044	3.52920387910933e-05	0.000112038218384423	1.96497738101492
BBC3	1.66307952380953	5.04388913043478	4.5986173104194	3.7311983966575e-05	0.000117982557997075	1.91142670354448
SYN2	-1.59343809523809	10.8063717391304	-4.59714402001456	3.74888958543844e-05	0.000118075262533494	1.90687608547077
IL10RB	1.10035904761905	7.11504347826087	4.59573152256744	3.76592811076025e-05	0.000118146764259145	1.90251368908226
STAT1	-1.28645071428571	9.56081956521739	-4.58698415253491	3.87315137159474e-05	0.000120277747781744	1.87550785906509
PEX14	-1.72279595238095	7.40183695652174	-4.55195471982249	4.33338604208534e-05	0.000133849761917694	1.76753204890036
MAP2K1	-1.33490095238095	9.67548695652174	-4.53892110399011	4.51798686298993e-05	0.000138482355953714	1.72742761152915
BCL2	1.83897523809524	7.95011086956522	4.51895482895936	4.81583557019835e-05	0.000146489294910977	1.66606708444536
