"ID_REF"	"GSM4869092"	"GSM4869093"	"GSM4869094"	"GSM4869095"	"GSM4869096"	"GSM4869097"	"GSM4869098"	"GSM4869099"	"GSM4869100"	"GSM4869101"	"GSM4869102"	"GSM4869103"	"GSM4869104"	"GSM4869105"	"GSM4869106"	"GSM4869107"	"GSM4869108"	"GSM4869109"	"GSM4869110"	"GSM4869111"	"GSM4869112"	"GSM4869113"	"GSM4869114"	"GSM4869115"	"GSM4869116"	"GSM4869117"	"GSM4869118"	"GSM4869119"	"GSM4869120"	"GSM4869121"	"GSM4869122"	"GSM4869123"	"GSM4869124"	"GSM4869125"	"GSM4869126"	"GSM4869127"	"GSM4869128"	"GSM4869129"	"GSM4869130"	"GSM4869131"	"GSM4869132"	"GSM4869133"	"GSM4869134"	"GSM4869135"	"GSM4869136"	"GSM4869137"	"GSM4869138"
"AARS"	11.722	10.761	11.262	11.376	10.996	10.736	10.841	10.87	10.893	10.926	12.133	11.539	10.89	11.026	11.975	11.506	11.263	11.374	12.153	11.546	10.797	10.873	12.096	11.306	10.801	11.308	11.987	11.28	11.017	11.545	10.803	11.276	10.83	11.193	11.033	11.284	11.342	11.697	11.181	11.247	10.816	10.79	11.886	11.386	10.964	11.507	11.865
"ABCC3"	4.5236	4.3219	4.7004	4.3219	4.3219	4.3219	5.6439	4.3219	4.3923	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	6.0875	4.9542	4.3219
"ABCC8"	8.9629	9.5962	9.8313	9.5718	9.7364	10.36	9.9758	10.415	10.363	9.8978	9.1997	9.4574	10.414	9.2527	9.1447	9.0928	9.5137	9.0498	9.2808	9.4409	9.7125	8.29	8.8234	9.6812	9.8673	9.2336	8.9773	9.1497	10.518	9.5755	8.8978	10.858	10.409	9.2527	8.9159	9.5411	9.7039	9.1007	9.825	9.6742	8.9484	8.6402	9.4471	9.4471	9.5078	8.8948	9.1472
"ABL1"	7.585	8	7.5774	7.6366	8.7977	7.4838	8.3309	8.1189	8.1344	7.8948	7.7616	7.4594	7.6511	9.375	7.4838	7.6582	7.6439	8.1241	7.8704	7.6439	8.0607	9.0821	7.6653	7.5622	7.9542	8.0715	7.5774	7.375	7.7549	8.6511	9.2992	7.5314	7.9009	8.5812	8.8138	7.4512	7.7748	8.2668	8.0607	7.7879	9.3576	9.4696	7.7142	7.6582	7.9248	7.8455	7.96
"ADAMTS16"	5.0444	9.3837	4.9069	8.3487	4.3219	8.1649	5.5236	8.7004	9.3174	6.0224	4.5236	6.7682	8.4635	4.3219	4.585	7.1293	8.9189	5.2479	4.6439	7.2384	8.4221	4.3219	5.3219	8.2095	8.7381	5.4919	4.3219	7.3219	8.1749	5.6724	4.3219	8.4919	8.5622	6.0875	4.3219	8.0607	9.4778	5.585	5.0444	7.9248	6.4594	4.3219	4.5236	8.0389	8.8424	5.2479	4.8074
"ADRA2A"	6.6294	5.858	6.5078	5.3923	7.1898	5.2854	7.0875	6.8202	4.4594	7.0553	5.9307	6.9542	4.3219	4.3219	5.9307	6.5078	5.8074	6.5392	6.3576	7.7748	5.6439	6.0444	6.7549	7.4429	5.3219	7.2761	6.585	6.4757	5.6439	7.3129	7.1497	4.3219	5.4594	6.0875	7.3398	7.3576	4.3219	7.5925	6.7415	6.3398	6.5699	7.8138	6.1293	7.0444	4.3219	5.9773	6.2095
"AGO4"	7.6653	8.611	7.9009	8.1085	8.1898	8.1137	8.2761	8.3923	8.543	8.3038	7.3487	8.0389	8.2761	7.8202	7.5699	8.1497	8.4998	8.2854	7.3129	8.0389	8.4798	8.5236	7.6366	8.1137	8.3129	8.0768	7.6511	8.0715	8.2432	8.1085	7.9129	7.9366	8.2992	8.2946	8.0661	8.4179	8.1396	7.9069	8.2574	8.2946	8.1396	8.0389	7.7944	8.1749	8.6618	8.1749	7.4838
"AGT"	10.406	11.073	10.629	10.967	10.458	10.494	11.012	10.718	10.615	10.478	10.466	10.936	9.7313	10.278	9.8376	10.307	10.791	11.001	9.5999	11.226	10.725	11.807	10.296	10.826	10.908	11.111	10.422	10.96	10.463	10.276	11.457	10.795	11.034	11.436	11.67	10.69	10.57	9.7211	10.727	10.712	11.313	11.687	10.608	11.099	11.084	10.87	10.936
"AIF1"	8.1189	9.2119	7.8138	6.8202	8.0498	5.2095	7.0661	6.2288	8.9542	10.187	8.4094	7.0661	8.0607	9.9643	7.7814	6.8826	7.9069	9.1007	8.3619	7.1497	6.6439	10.274	7.8948	6.8704	8.7177	9.8345	6.9425	7.098	7.0768	9.2288	9.0928	6.9307	6.4263	8.9715	7.3398	7.375	9.014	9.6257	7.2479	6.9069	9.5333	9.5058	8.1447	6.6294	7.6073	9.3685	8.1137
"AK1"	10.398	9.9643	10.146	10.323	10.28	9.5962	9.7056	9.6092	9.6847	9.8918	10.531	10.081	9.6439	9.8918	10.693	10.531	9.9944	10.201	10.623	10.165	9.8074	10.454	10.486	10.194	9.7665	10.573	10.314	10.206	9.8186	9.9469	10.972	9.8595	9.8918	10.702	10.57	10.312	9.6812	10.132	10.014	10.081	9.9484	10.082	10.562	10.295	9.7313	10.065	10.708
"AKT1"	9.098	9.1649	9.3859	8.5469	9.7582	8.5196	9.7448	8.9915	9.0634	9.7797	8.9248	8.7177	9.1447	10.309	9.1189	8.8455	8.6724	9.1948	9.0279	8.7846	8.9396	9.7211	9.1548	8.9366	8.9801	9.3509	9.1137	8.7381	8.7549	9.5353	10.428	9.3597	9.1007	9.6073	9.8138	8.7781	8.7781	9.1824	9.4717	8.7245	9.9527	10.242	9.3219	8.7279	9.2167	9.1774	9.2574
"AKT2"	8.9009	10.014	8.96	10.036	10.05	10.397	9.3923	10.293	10.248	9.6742	9.2095	10.073	10.322	9.8074	9.0168	10.269	10.213	9.4696	8.8918	9.9174	10.304	10.036	9	10.289	10.172	9.5314	8.9425	9.9672	10.331	10.003	10.074	10.337	10.573	9.96	9.716	10.082	10.295	9.4553	9.5603	10.103	10.278	10.185	9.3174	9.8933	9.9513	9.3707	9.3197
"ALDH1L1"	8.7912	9.6257	8.8486	8.5353	9.6883	6.7549	9.4367	7.6795	9.4574	10.02	8.3663	7.7279	8.2143	9.8673	8.4635	8.4051	8.1189	9.1824	7.7142	7.4757	8.4094	10.499	8.3707	7.2384	9.2384	9.6777	8.543	8.8704	7.5314	9.7632	9.9787	7.8202	7.7211	10.189	10.557	7.9887	8.7381	8.8234	9.137	8.3923	10.385	10.43	8.633	8.0056	10.097	10.418	8.6366
"AMBRA1"	7.7415	7.7748	7.8455	8.6439	7.3129	8.1898	7.4346	7.8517	7.375	6.8455	8.1033	8.2808	7.5469	7.0112	8.1396	8.3038	8.3354	7.5546	8.1344	8.3837	7.9009	7.3129	7.9484	8.6147	8.0928	7.6582	8.1137	8.1948	7.9773	7.7004	7.0444	7.4263	8.2192	7.9542	7.3398	8.2143	8.0715	7.7347	7.9944	8.388	7.4009	7.4757	7.9658	8.5314	7.9069	7.9773	8.0607
"AMIGO2"	7.9307	6.0444	8.2854	5.0444	7.1898	4.9069	8.4919	4.3219	5.4919	7.4594	7.9425	4.4594	5.9542	7.4263	7.8009	5	5.4919	6.3219	7.2288	5.4594	4.4594	7.3923	7.3398	5	6.2288	7.5622	7.3398	5.7279	5.9307	7.6439	7.8826	5.4594	5.0875	7.1085	6.9307	5.3576	6.2288	8.0056	7.6439	5.2854	6.9887	7.4009	7.5999	5.0875	7.2946	8.0875	7.4429
"ANAPC15"	7.5925	6.1898	7.5925	6.3576	6.7142	4.8074	7.5546	6.2095	5.8329	7.098	7.6653	6.0875	5.3923	7.1799	8.1137	6.7142	5.9773	7.4094	8.0224	5.9542	5.4919	6.4429	7.5699	5.6724	5.7549	7.1997	7.4512	6.3398	5.0875	6.4919	4.3219	4.3219	5.6147	7.1497	7.3663	6.1293	5.2095	7.0224	7.3837	5.9307	6.5699	7.2668	8.0224	6.1085	5.2479	7.1898	7.9009
"ANXA1"	6.6724	6.6147	6.7814	6.2854	8.3923	5.9307	7.2946	6.1497	7.7482	8.2384	6.9542	6.5999	6.8329	9.9801	7.585	6.6582	7.1497	8.098	7.7482	7.6653	6.8074	9.5118	7.5392	5.7814	7.2946	8.5196	7.0553	7.1898	7.4429	8.7448	9.9929	7.0334	6.3398	9.1421	8.1997	6.8455	7.8009	8.7245	7.375	5.8826	9.3332	8.9039	7.1898	6.4429	9.2831	9.058	7.2668
"APC"	11.098	10.055	10.807	9.9337	11.018	9.6883	10.991	9.7781	9.9396	10.921	10.761	9.8154	10.328	10.588	10.797	10.085	9.6636	10.853	10.79	9.683	9.7482	10.577	11.054	9.5584	9.7381	11.14	10.891	9.9658	9.6312	10.58	10.321	10.09	9.9263	11.054	11.098	9.7698	9.6457	11.03	10.808	9.8424	10.311	10.455	10.831	9.6812	9.4979	10.959	10.836
"APEX1"	8.858	8.4388	8.9159	8.5157	8.2527	7.1396	9.0768	8.1898	8.3399	9.0112	9.0795	8.4263	8.0715	8.7549	9.2021	8.9039	8.5661	8.9972	9.3685	8.8138	7.9129	8.5887	9.0389	8.5507	8.1189	8.5078	8.8673	8.4346	7.5999	8.3966	8.1799	7.7944	7.8455	8.7108	8.7482	8.5392	7.9307	8.6935	8.375	8.2143	7.9887	7.8138	9.1573	8.7415	8.6221	9.1573	9.0444
"APOE"	12.482	13.459	12.533	12.601	13.149	11.081	13.103	11.89	13.506	13.522	12.241	12.314	12.536	14.858	12.634	12.921	12.739	12.931	11.899	12.069	11.752	14.565	12.36	11.647	12.738	13.385	11.784	12.724	11.902	13.257	14.25	12.428	11.872	13.479	13.232	12.278	12.862	12.243	12.782	12.427	14.393	14.468	12.664	12.009	13.375	12.907	12.608
"APP"	14.205	12.737	14.017	13.08	13.371	12.433	13.752	12.582	12.377	13.365	14.237	13.265	12.388	12.49	14.369	13.324	12.534	13.679	14.472	13.182	12.226	12.529	14.182	12.801	12.24	13.662	14.282	12.998	12.203	13.161	11.882	12.009	12.33	12.925	13.173	13.097	12.22	13.767	13.52	12.851	12.745	12.632	14.222	12.941	12.715	13.743	14.038
"ARC"	7.5699	4.9069	11.392	6.4429	8.5314	4.3219	9.4574	4.3219	5.7814	8.0498	8.8361	4.3219	5.2479	9.4325	7.9425	4.3219	4.3219	7.3576	8.7515	4.3219	4.3219	7.8704	8.4221	4.3219	4.3219	7.5314	8.2715	4.3219	4.3219	7.5236	8.6724	4.9542	4.3219	7.5999	7.0768	4.3219	4.585	7.2761	8.633	4.3219	8.4757	8.2946	8.7108	4.3219	6.7415	7.9069	8.611
"ARHGAP24"	6.5546	5.7279	6.4094	4.6439	7.0444	4.3219	6.6439	5.2095	4.6439	6.6582	6.5236	4.585	5.1293	7.4757	6.7142	4.8074	4.4594	6.7814	6.0224	4.3219	4.3219	8.1189	5.858	4.5236	5.4263	7.2668	6.1293	4.6439	4.4594	6.9189	7.8202	4.3219	4.3923	7.4757	7.2479	4.3219	4.585	6.3923	7	4.3219	7.5999	7.4009	6.4919	4.3219	5.2095	6.8455	6.7549
"ARID1A"	8	7.858	8.0768	8.2574	7.9887	8.0112	7.8826	7.4179	7.5699	7.4263	8.2621	8.4263	7.6935	8.3399	8.2143	8.2288	8.1898	7.9366	8.1497	8.3399	7.6795	8.1799	7.9715	8.1241	7.8517	7.9129	8.0112	8.1948	7.6724	8.0553	8.3399	7.7211	7.8455	8.0661	7.8517	8.0279	8.0715	7.8887	7.9773	7.8948	8.2621	8.2946	7.9542	8.1396	8.0498	8.1033	8.2715
"ASB2"	7.3219	4.3219	6.5392	4.3219	4.3219	4.3219	6.7549	4.3219	4.3219	6.2854	7.6795	4.3219	4.3219	4.3219	7.0875	4.3219	4.3219	6.2095	6.7279	4.3219	4.3219	6.4429	7.1699	4.3219	4.3219	7.2192	6.9189	4.3219	4.3219	6.4919	4.3219	4.3219	4.3219	7.0112	4.3219	4.3219	4.3219	7.0224	6.6294	4.3219	4.3219	4.3219	7.3129	4.3219	4.3219	6.0224	7.1599
"ASB7"	7.4676	7.5925	7.4263	7.3837	8.0112	7.9189	7.6511	7.7074	7.6366	7.9069	7.6366	7.8202	7.8704	8.4553	7.8455	7.6724	7.6865	7.6795	7.6073	7.5999	7.7415	7.9944	7.4009	7.7004	7.8009	7.8265	7.7682	7.7347	7.8826	7.9248	8.7912	8.1033	7.96	7.9658	7.8948	7.7482	7.6511	7.5622	7.858	7.6294	8.3576	8.2946	7.4676	7.6439	7.7879	7.4838	7.7142
"ASH2L"	9.6724	9.207	9.2408	9.8424	8.9337	8.8074	9.4409	9.3859	8.8704	8.69	9.9024	9.96	8.6546	8.5812	9.8978	9.8857	9.6421	9.4553	9.9672	9.9556	9.1997	9.1724	9.8642	9.8486	9.4094	9.2336	9.8297	9.875	8.9099	8.817	8.6184	7.8392	9.1241	9	9.0741	9.8361	8.9972	9.4409	9.3061	9.6421	9.0471	8.5157	9.676	9.9542	9.0821	9.3923	9.7228
"ASPH"	11.58	11.76	11.464	12.077	11.461	11.693	11.681	12.051	11.643	11.503	11.673	12.156	11.514	10.642	11.741	12.394	11.681	11.76	11.597	11.9	11.772	11.87	11.485	11.706	11.546	11.902	11.604	11.988	11.635	11.418	10.762	11.918	11.703	12.065	11.985	11.856	11.447	11.529	11.65	11.869	11.17	11.061	11.873	11.964	11.744	11.904	11.771
"ATF3"	4.3219	4.3219	5.4919	5.2854	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.8074	4.3219	4.3219	4.3219	4.3219	4.3219	4.3923	5.0444	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	5.4919	4.3219	4.3923	4.3219	4.3219	4.3219	4.3219	5.4263	4.7004	4.3219	4.3219	7.5157	7.1293	4.3219	4.9069	5.3219	5.4594	4.3219
"ATG14"	8.0112	8.585	8.4838	8.5392	8.0112	8.5157	8.6511	8.098	8.3443	7.8642	8.1749	8.3399	8.4009	7.983	8.1649	8.5118	8.5622	8.4878	8.0607	8.4179	8.0661	8.2046	8.3354	8.3576	8.4179	8.3837	8.1749	8.375	8.0875	7.9129	8.1033	8.0334	8.2621	8.1849	8.1189	8.4305	8.2992	7.9715	8.5507	8.4998	8.1898	8.3794	8.1085	8.5157	8.5038	8.0821	7.8887
"ATG3"	9.7039	9.0112	9.403	9.4778	9.1649	8.6221	8.9039	8.8138	8.5584	8.8486	9.8842	9.5314	8.3619	8.0768	9.8057	9.6883	9.0196	9.2831	9.8009	9.4676	8.7944	9.207	9.5469	9.3354	8.8265	9.5157	9.5887	9.5314	8.7682	9.0279	8.2288	8.1849	8.6036	9.3729	9.4676	9.3772	8.7142	9.3151	9.0848	9.2527	8.7245	8.9159	9.4778	9.4051	8.9189	9.6546	9.733
"ATG5"	8.6257	7.9248	8.8329	8.6036	8.3923	7.9773	8.3399	8.3038	7.8455	8.2992	9.4939	8.6036	7.7748	8.4305	9.403	8.4757	8.4594	8.611	9.4898	8.7074	8.2761	8.0279	9.1396	8.3531	8.1085	8.4676	9.1447	8.6073	7.9887	8.1599	8.2527	7.7482	8.1599	8.4757	7.6073	8.5038	8.0279	8.8918	8.4136	8.4346	7.8392	7.5469	8.9278	8.6935	7.7415	8.4959	9.1898
"ATG7"	9.3945	9.0526	9.716	8.9972	9.224	8.6036	9.585	9.0251	8.9484	9.4242	9.6055	8.6546	8.8074	9.5507	9.5216	8.7245	9.0168	9.4553	9.5157	8.4757	9.0417	9.5584	9.4717	8.6221	9.0307	9.4179	9.5018	8.4798	8.6294	9.2715	9.2288	8.6935	8.8948	9.5812	9.3264	8.7313	9.0607	9.2288	9.4635	8.8361	9.3966	9.6055	9.5943	8.676	8.2992	9.2644	9.2192
"ATG9A"	10.038	9.8564	9.9614	10.029	10.489	10.328	10.213	10.3	9.9701	9.5906	10.124	9.9787	10.424	9.9322	10.203	10.008	9.9159	10.087	10.219	10.014	10.091	10.082	10.288	10.122	9.9159	10.097	10.347	10.042	10.343	10.218	10.259	10.523	10.446	10.264	10.386	9.9322	10.047	10.492	10.008	9.9887	10.075	10.391	9.9787	9.9586	9.8154	9.8673	9.941
"ATM"	9.2854	10.589	9.4656	10.504	10.857	10.869	9.8642	11.173	10.92	10.317	9.1085	10.021	10.797	11.272	9.0056	10.087	10.282	9.7022	8.9887	9.8688	10.811	10.634	9.1421	10.138	10.423	9.825	8.9571	10.122	10.585	10.235	11.449	10.717	10.743	10.029	9.9887	10.229	10.558	9.6239	9.7245	10.32	10.648	10.942	9.2021	9.9586	10.42	9.5018	9.3729
"ATP5D"	11.991	11.592	12.028	11.456	11.637	9.4898	12.102	11.335	11.205	12.199	11.951	11.502	10.685	11.565	12.157	11.627	11.318	11.869	12.022	11.494	11.081	11.761	12.102	11.333	11.143	11.785	11.761	11.309	10.423	11.409	11.313	10.552	10.682	11.697	11.917	11.378	10.603	11.577	11.873	11.334	11.818	11.888	12.286	11.5	11.373	11.713	11.885
"ATP5G"	11.531	10.181	11.169	10.29	10.044	8.7279	10.687	9.5411	9.3487	10.62	11.611	10.534	9.6165	10.112	11.716	10.579	10.119	10.651	11.761	10.433	9.1624	9.8025	11.502	10.288	9.7056	10.437	11.559	10.508	9.0251	9.9614	10.138	9.4553	9.1215	10.194	9.9744	10.58	9.3966	10.558	10.731	10.253	9.9009	10.197	11.537	10.686	9.5118	10.502	11.394
"ATP5H"	11.714	10.873	11.197	10.917	10.653	9.5157	10.849	10.308	10.114	10.741	11.752	11.087	9.7515	9.6812	11.773	11.225	10.816	11.107	11.849	10.948	10.075	10.569	11.687	11.02	10.418	11.205	11.626	11.027	9.9159	10.49	9.4979	9.3987	9.8455	10.648	10.769	11.085	9.9901	11.029	10.896	10.877	10.274	10.27	11.778	11.003	10.579	11.248	11.666
"ATP5J2"	10.784	8.9396	10.433	10.854	9.6883	9.5546	8.9366	9.2785	8.3399	8.7381	11.774	11.167	8.4998	8.7177	11.719	11.117	10.396	10.109	11.762	10.948	9.5488	9.4242	11.25	10.763	9.8392	10.283	11.579	10.964	9.5372	9.0741	8.8361	9.1267	9.4594	10.128	9.7432	10.776	9.5236	10.565	9.8471	10.293	8.8611	8.9039	11.282	10.985	9.6546	10.575	11.366
"ATP5PO"	12.977	12.056	13.128	12.185	12.355	10.847	12.71	11.488	11.406	12.481	12.716	11.889	11.45	11.683	12.904	12.17	11.811	12.464	12.778	11.881	11.057	11.543	12.846	11.947	11.429	12.269	12.671	12.019	11.071	11.875	11.034	10.746	11.243	12.126	12.102	12.016	11.237	12.342	12.442	11.784	11.785	11.85	12.805	12.028	11.562	12.397	12.752
"ATP5S"	9.1293	8.6294	8.1948	8.3837	8.2854	6.8704	8.5469	8.1344	8.1033	8.4009	8.8549	7.9425	7.7616	8.1033	8.6294	8.224	8.3923	8.9571	9.0444	8.4346	8.0607	8.8918	8.5469	8.3219	8.5236	9.2216	8.8826	8.3837	7.375	7.8392	7.9425	6.5546	7.8138	8.7944	9.0389	8.0821	7.3576	8.1649	8.7515	8.6294	8.5736	8.4009	9.0471	8.29	8.1497	8.9069	8.9629
"ATP6V0E1"	9.2574	8.4429	9.2992	8.8642	9.6582	8.8517	9.4838	8.3354	8.2479	8.4388	9.8361	9.098	8.4919	9.1724	9.4998	9.1824	8.9454	9.5641	9.29	8.9278	8.7748	10.464	9.1624	8.5469	9.224	9.7944	9.4574	9.2621	8.8361	9.6239	9.8765	8.543	8.7616	10.504	10.35	8.7245	9.2831	10.04	9.7177	8.8009	9.676	9.5887	9.4471	8.7108	9.2574	10.014	9.4959
"ATP6V1A"	12.408	10.819	11.766	11.792	10.713	10.734	11.256	10.757	10.552	11.201	12.527	11.578	10.225	9.7364	12.582	11.823	11.24	11.831	12.716	12.005	10.757	10.372	12.648	11.578	10.823	11.819	12.507	11.498	10.481	10.573	9.3106	9.5255	10.827	10.871	11.008	11.716	10.644	11.951	11.362	11.366	10.54	10.334	12.382	11.886	11.187	12.03	12.368
"ATR"	8.69	8.8642	9.0251	8.7781	8.5699	8.0279	9.1319	8.6546	8.5962	9.1267	8.6073	8.0928	8.5774	8.9069	8.5469	8.3576	8.6795	8.983	8.6073	8.1948	8.6511	8.4179	8.6689	8.2384	8.5887	8.5118	8.4757	8.2527	8.3219	8.7142	8.6724	8.4838	8.2288	8.5661	8.5078	8.5353	8.3837	8.3794	9.0741	8.6366	8.7846	8.7039	8.5469	8.2946	8.2854	8.5118	8.5353
"AXL"	8.7245	8.7245	8.676	7.5392	9.4367	6.5078	9.1898	7.1497	8.4838	9.4979	8.7582	7.6366	8.0334	10.588	8.6618	7.8704	8.0168	9.5236	7.8009	7.0334	7.4512	10.911	8.5236	6.9189	8.2192	9.5353	8.3038	8.29	7.8392	9.7177	10.489	7.858	7.5774	10.134	9.8673	7.1497	8.2288	8.8106	9.1085	7.8265	10.906	11.009	8.8329	7.0334	8.9687	9.5411	8.8202
"B3GNT5"	5.6439	6.5236	6.7549	6.7549	6.6582	4.7549	4.3219	6.2854	6.7004	6.7549	5.8329	5.9542	6.2095	7.7879	5.2095	6.7814	6.1085	6.4263	5.3219	5.7814	5.7814	7.6653	5.4594	5.3219	5.8074	6.3576	4.9069	6.0224	6.4094	6.7415	8.0498	6.1898	4.8074	6.9069	4.3219	6.2668	5.858	6.1293	5.4263	6.3576	7.7482	7.2668	6.1497	5.3576	5.6439	6.5999	5.3219
"BAD"	9.809	8.6475	9.5774	8.8424	9.7649	8.2432	9.5925	8.3531	8.3399	8.9744	9.8978	9.1874	8.4136	9.3151	10.123	9.2264	8.6795	9.8517	10.069	9.0768	8.5736	9.8796	9.8424	8.9658	8.6221	9.858	9.9009	9.1523	8.4179	9.403	10.138	8.3531	8.7748	9.9129	9.8517	8.9278	8.4263	9.8345	9.7074	8.9337	9.5999	9.2408	10.029	8.9484	8.7912	9.9958	10.07
"BAG3"	8.2574	10.314	8.4221	9.3242	9.8933	11.029	9.2143	9.3619	10.831	9.9758	8.3038	10.27	10.951	11.029	8.3443	9.6165	9.9144	8.7748	7.7415	10.369	10.447	10.623	8.4388	9.9454	9.8765	9.4533	8.1497	10.443	10.505	9.8704	11.594	11.682	10.478	10.64	9.8719	10.192	10.697	10.255	8.6511	9.1624	10.105	10.082	8.4919	10.191	10.203	9.9972	8.3174
"BAG4"	10.513	9.9454	10.728	10.053	10.216	10.071	10.527	9.7142	9.6987	10.202	10.452	10.152	9.7944	9.7549	10.408	10.195	9.9571	10.343	10.509	10.197	9.5661	9.2216	10.448	10.166	9.5755	10.074	10.502	10.073	9.7515	9.8918	9.7415	9.7977	9.8057	9.9469	9.8202	10.189	9.716	10.436	10.331	9.944	9.6883	9.7928	10.549	10.241	10.033	10.343	10.355
"BAK1"	7.4676	8.1749	7.7814	7.2479	8.4221	7.7682	8.5887	8.4051	8.1997	8.7682	7.0875	7.1085	8.3531	9.3859	7.1293	7.1997	7.6795	8.0389	7.2095	7.3038	7.9009	8.9366	7.4594	7.4998	7.6653	7.7004	7.1189	7.2095	7.7347	8.7211	9.9498	8.7682	7.7682	8.2192	8.7912	7.5314	7.7142	7.5699	7.9307	7.9715	8.8611	9.2854	7.5925	7.3398	8.3038	7.4919	6.9425
"BARD1"	6.1497	5	5.7549	4.4594	6.6147	4.3219	6.4429	5.3576	5.1293	6.6865	6.1293	4.3923	5.2479	4.3219	5.9307	5.1293	4.5236	6.585	6.1293	4.4594	4.3219	7.2854	6.2479	4.3219	4.7549	6.7142	6.2668	5.2854	4.7549	6.9887	6.8202	4.4594	4.3219	6.8202	7.5078	4.9069	5.2854	7.0768	6.4094	4.3219	7.3038	7.2668	5.9542	4.3219	5.7004	7.3663	6.3038
"BAX"	8.7108	8.983	8.3663	8.3354	8.9248	7.6582	8.7313	8.3399	8.5699	9.1699	8.7814	8.6036	8.8857	10.333	8.8234	8.6221	8.543	8.9915	8.8074	8.683	8.3576	9.6384	8.7245	8.4959	8.8549	9.2264	8.5999	8.5584	8.4346	9.3945	9.9425	8.9307	8.1799	9.3509	8.9658	8.5353	8.9248	9.1472	8.6618	8.4757	9.4838	9.4979	8.7142	8.4346	8.3038	8.8329	8.8424
"BBC3"	4.3219	5.8074	5.1699	4.3219	4.3219	5.2095	4.3219	5.5236	5.8329	5.6724	4.3219	4.3219	5.7549	4.3219	4.3219	4.8074	4.8074	5.1699	4.3219	4.5236	4.858	6.2288	5.0444	5	5.2479	5.2479	4.3219	4.3219	5.5546	6.2095	7.1497	6.4594	5.3923	5.4263	6.3576	4.5236	5.0444	4.7549	5.0875	4.3219	4.3219	4.3219	4.3219	4.3219	5.8329	5.1699	4.3219
"BCAS1"	9.9054	10.059	10.475	8.0334	11.41	8.1447	10.574	9.1085	8.2095	10.552	9.2216	8.3487	8.4594	11.97	9.6528	7.7879	7.9366	11.011	10.042	7.8455	7.2479	10.421	10.261	7.3663	7.5622	10.071	9.3219	7.9484	7.1898	11.131	11.132	7.858	8.5507	9.5887	10.661	7.6653	8.1997	9.941	10.447	7.8455	11.468	12.738	9.6546	7.1599	8.1447	10.211	9.5488
"BCL10"	8.5999	8.9248	8.7415	8.2621	9.3264	8.8765	9.0196	8.9887	8.9009	9.2831	8.4798	8.7944	9.2046	9.9643	8.375	8.7313	8.633	8.9366	8.5546	8.7682	8.6724	9.5736	8.4919	8.4594	8.8392	9.0084	8.4305	8.6257	8.8642	9.0224	9.716	9.0279	8.543	8.9337	9.1007	8.69	8.7245	8.9039	8.7977	8.6865	9.4263	9.5962	8.7748	8.543	9.1573	8.6935	8.5925
"BCL2"	7.6511	7.8642	8.0444	6.858	9.3487	7.3398	9.236	7.5157	7.5699	8.9972	7.8329	6.4757	8.2288	10.768	7.3923	6.7142	6.3398	8.0498	7.4512	6.3576	7.2192	9.6546	7.7279	6.4429	7.0224	8.5622	7.7279	6.9069	7.4263	9.0526	10.823	8.4263	7.6865	9.5507	9.1948	6.8455	7.5774	8.4717	8.7448	7.1599	9.2691	9.8963	8.0875	6.2854	7.2192	7.8704	8.0875
"BCL2A1"	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	5.2479	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	5.858	4.3219	4.3219	4.4594	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.7004	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	5.2854	4.3219
"BCL2L1"	9.4898	9.697	9.7582	9.1898	10.532	9.716	10.424	9.8994	9.858	10.25	9.2046	9.3332	10.162	11.427	9.5177	9.2597	9.2119	9.8963	9.3376	9.2479	9.3354	10.49	9.6636	9.2808	9.3106	9.8688	9.4346	9.3083	9.1267	10.075	11.185	10.029	9.7879	10.09	10.316	9.1319	9.543	9.8918	9.8872	9.3174	10.836	11.032	9.4574	9.1749	9.7731	9.5868	9.1189
"BCL2L11"	4.6439	4.3923	4.9069	4.858	4.3219	4.8074	4.3219	4.3219	4.7004	5.4594	4.9542	4.3219	4.3219	4.3219	4.5236	4.9069	4.3219	5.5236	5.0444	4.3219	4.7004	4.3219	5.0444	4.3219	4.3219	5	4.7004	4.4594	4.585	6.1293	4.3219	4.9069	4.5236	5.4594	4.3219	4.3219	4.3219	4.8074	5.2479	4.3923	4.3219	4.3219	5	4.3219	4.7549	4.858	4.3219
