"ID_REF"	"GSM4869092"	"GSM4869093"	"GSM4869094"	"GSM4869095"	"GSM4869096"	"GSM4869097"	"GSM4869098"	"GSM4869099"	"GSM4869100"	"GSM4869101"	"GSM4869102"	"GSM4869103"	"GSM4869104"	"GSM4869105"	"GSM4869106"	"GSM4869107"	"GSM4869108"	"GSM4869109"	"GSM4869110"	"GSM4869111"	"GSM4869112"	"GSM4869113"	"GSM4869114"	"GSM4869115"	"GSM4869116"	"GSM4869117"	"GSM4869118"	"GSM4869119"	"GSM4869120"	"GSM4869121"	"GSM4869122"	"GSM4869123"	"GSM4869124"	"GSM4869125"	"GSM4869126"	"GSM4869127"	"GSM4869128"	"GSM4869129"	"GSM4869130"	"GSM4869131"	"GSM4869132"	"GSM4869133"	"GSM4869134"	"GSM4869135"	"GSM4869136"	"GSM4869137"	"GSM4869138"
"IRF7"	4.8074	6.3038	4.8074	6.4429	6.4594	6.4757	4.3219	6.9658	6.8826	7.0334	4.3219	5.7004	7.5699	8.5812	4.7549	5.7279	5.9307	5.7279	5.0875	5.9069	6.3219	6.9542	5.3219	5.4919	6.3219	6.0875	4.7004	5.6724	6.9307	8.1189	8.3399	6.9189	6.9189	6.6147	6.0444	6.2095	6.858	6.1085	6.1085	5.9307	7.5699	7.9009	4.858	5.5236	5.0875	4.9542	4.3219
"IRF8"	5.5236	6.5392	5.2479	5.9773	6.8826	4.3219	4.3219	6.6865	6.9307	7.7142	5.7814	5.0444	6.4263	8.0768	5.4594	6.3576	5.1699	6.6294	5.3219	5.4594	4.7004	7.6221	5.8826	4.7004	6.2288	6.9542	5.2479	4.9069	5.0444	6.7415	7.4263	5.585	4.8074	7.0112	4.3219	5.4919	5.4919	6.3923	5.5236	6.375	7.2384	7.6865	5.4594	4.3219	6.3038	5.9307	5.6724
"ISLR2"	6.7814	4.3219	6.7142	5.3576	8.2046	4.3219	8.1396	4.3219	4.858	6.9773	7.2668	5	4.3219	7.7142	6.6582	5.6147	4.9542	7.4179	7.5925	4.7549	4.3923	7.0224	7.6073	4.6439	4.3219	7.9484	7.2946	5.1293	4.3219	7.1599	7.4676	4.3219	4.3219	7.4263	7.585	5.8826	4.3219	7.8517	6.8329	5	7.4838	7.9542	7.3219	5.0875	4.3219	6.1497	7.0661
"ITGA6"	7	5.9542	7.4263	6.9542	7.4346	5.2854	8.1396	7.5999	5.7004	7.1898	8.1599	6.6865	5.8826	7.6366	7.9366	6.4919	6.7279	8.3443	8.098	6.3923	6.6865	9.4429	7.9129	5.9773	7.5314	8.4676	7.8202	6.5699	7.1189	8.5546	8.69	5.3923	7.3219	9.7381	8.9454	6.375	7.3837	8.4757	7.9484	6.3219	8.6257	8.7381	7.6073	5.7279	7.9069	8.4959	7.9248
"ITGA7"	8.0553	7.9189	8.2621	7.8704	8.6221	7.1085	8.3487	7.0112	7.8392	8.2479	7.9366	6.9069	7.9366	8.4757	8.0224	7.4179	7.2095	8.4471	7.8704	7.4346	7.5925	9.3987	8.2761	7.0444	7.96	8.7279	7.585	7.2946	7.4919	8.5925	7.3837	6.9307	7.2668	9.2644	9.1948	6.8329	7.5774	7.9248	8.2854	7.5078	9.2946	9.0112	8.0389	7.2761	8.5887	8.7715	7.9542
"ITGAM"	5	5.6724	4.8074	4.858	6.1497	5.6147	4.3219	4.3219	6.1085	6.5236	5.8074	4.858	5.7549	7.5622	4.4594	4.5236	4.9069	6.1699	5.1699	5.0875	4.6439	7.9425	4.6439	4.3219	5.9773	6.7814	4.3219	4.6439	6.1699	6.2479	7.3398	6.3038	5.7549	6.6439	4.3219	4.8074	6.0444	5.9542	4.7549	4.7549	7.4009	7.2668	4.858	4.3219	5.2095	5.7549	5.2095
"ITGAV"	9.7912	10.656	10.107	10.494	10.687	10.273	10.695	10.479	10.808	10.388	9.4051	9.5622	10.647	11.202	9.3859	9.9009	10.027	10.156	8.6618	9.543	10.352	10.96	9.3923	9.4388	10.266	10.145	9.3772	10.147	10.297	10.105	10.831	10.217	10.434	10.934	11.052	9.9159	10.628	9.7715	10.077	10.124	11.152	10.999	9.3576	9.676	11.237	10.517	9.0768
"ITGAX"	6.8455	8.4179	6.7682	6.1085	7.7814	4.3219	5.9542	5.0444	7.7482	9.0444	6.0875	4.9069	7.6221	10.404	5.9542	5.585	6.8202	8.3663	6.3576	5.5546	5.4263	9.9787	6.7549	5.2854	7.5699	7.6439	5.7279	5.4263	6.3398	8.2946	9.9929	7.3837	5.1293	8.4676	6.1085	5.8329	7.4094	6.0224	6.5078	5.9773	10.56	10.871	6.1699	5	8.7142	8.543	6.6865
"ITGB5"	8.1293	8.8009	7.9425	8.7313	9.4574	7.6865	8.5887	8.0715	8.4717	8.3399	8.6257	8.4757	8.1997	10.531	8.2854	9.0362	8.4878	8.8009	7.8517	8.3129	7.7748	10.424	8.4757	7.6795	8.6582	9.137	8.224	9.0196	8	9.1824	11.344	8.6147	8.5038	10.213	9.7599	8.5507	8.5275	8.3399	8.3038	8.2854	9.796	10.231	8.2336	7.983	9.0224	8.6689	8.3129
"JAG1"	5.9773	5.0444	6.4094	4.9542	6.3923	5.0875	7.2288	4.3219	6.0444	7.1898	6.4429	4.3219	5.8074	7.7142	5.6439	5.0444	4.9542	6.8704	5.2479	4.3219	4.858	7.2288	5.9773	4.3219	5.4919	5.9069	6.0444	5	5.2854	7.0112	7.0444	5.3576	5.5546	6.858	6.1085	5	5.5236	6.6439	6.6147	4.3219	7.8392	7.3129	6.2288	4.3923	6.7279	7.1085	5.8826
